iter	RMSE
0	14.12791077
1	13.14992149
2	12.28680418
3	11.56056315
4	10.86830699
5	10.27221844
6	9.721346314
7	9.2356664
8	8.816886873
9	8.421671002
10	8.111299295
11	7.793527889
12	7.533779749
13	7.299943985
14	7.091854301
15	6.944416145
16	6.769710392
17	6.613822405
18	6.504133169
19	6.367054526
20	6.267308373
21	6.176213564
22	6.100037967
23	6.023518402
24	5.964919073
25	5.914154164
26	5.861769109
27	5.814290122
28	5.764802557
29	5.727816869
30	5.691967815
31	5.649010346
32	5.596802842
33	5.561182488
34	5.530512156
35	5.497670546
36	5.473922644
37	5.449764821
38	5.424989703
39	5.392146722
40	5.374889819
41	5.354105202
42	5.333222213
43	5.311578632
44	5.292567917
45	5.274309012
46	5.252158327
47	5.23395326
48	5.222559811
49	5.209579206
50	5.192491692
51	5.178218105
52	5.159805097
53	5.136685955
54	5.122931107
55	5.110111191
56	5.095788836
57	5.078167471
58	5.064794564
59	5.05454237
60	5.041257546
61	5.023881462
62	5.011664062
63	5.002226686
64	4.989389936
65	4.974877204
66	4.966320671
67	4.952834178
68	4.948492761
69	4.94442992
70	4.935679961
71	4.922576204
72	4.912475843
73	4.898328397
74	4.88925097
75	4.886032363
76	4.880715566
77	4.869943735
78	4.846836953
79	4.840192453
80	4.82089281
81	4.813427101
82	4.794928004
83	4.776009037
84	4.764848576
85	4.761956579
86	4.736018054
87	4.720201779
88	4.712488833
89	4.709381218
90	4.697053671
91	4.693745029
92	4.674361261
93	4.663051206
94	4.659887903
95	4.642424606
96	4.616570393
97	4.614551914
98	4.595204942
99	4.583253809
100	4.55959806
101	4.538655776
102	4.52062208
103	4.517357142
104	4.515324034
105	4.503644942
106	4.482699276
107	4.465791673
108	4.464940426
109	4.449802423
110	4.447459052
111	4.432466404
112	4.43037061
113	4.411428754
114	4.401741879
115	4.39797419
116	4.385150357
117	4.370152751
118	4.350651155
119	4.330331216
120	4.324370539
121	4.310021261
122	4.299147242
123	4.291622696
124	4.276809541
125	4.253169269
126	4.251036505
127	4.238088522
128	4.232740037
129	4.208564223
130	4.199893561
131	4.19331806
132	4.192110994
133	4.176516222
134	4.163380345
135	4.137335101
136	4.121940747
137	4.104998827
138	4.09721879
139	4.08716391
140	4.076697603
141	4.04751062
142	4.039497002
143	4.024792371
144	4.00997647
145	4.000632406
146	3.991963962
147	3.984053912
148	3.978452717
149	3.970470915
150	3.968625474
151	3.950099494
152	3.942872738
153	3.929959133
154	3.906696331
155	3.899874838
156	3.895425002
157	3.891543905
158	3.867086786
159	3.845016277
160	3.843583256
161	3.82163009
162	3.808284598
163	3.782461396
164	3.774384357
165	3.76557293
166	3.751110361
167	3.742592717
168	3.734360095
169	3.730424265
170	3.723608403
171	3.712712103
172	3.692870023
173	3.67661455
174	3.670063124
175	3.660570148
176	3.65771446
177	3.648918465
178	3.635132148
179	3.625081638
180	3.617154372
181	3.602893688
182	3.590679633
183	3.589556195
184	3.572937759
185	3.55683577
186	3.544873429
187	3.529900254
188	3.52939797
189	3.516185659
190	3.505844656
191	3.496023855
192	3.493467235
193	3.476338111
194	3.46853767
195	3.453956575
196	3.441164762
197	3.440238364
198	3.429789645
199	3.429008993
200	3.423548638
201	3.409092235
202	3.39907855
203	3.394530696
204	3.383801772
205	3.367125881
206	3.347454399
207	3.343669033
208	3.33305984
209	3.325412516
210	3.316448056
211	3.296148812
212	3.280509342
213	3.267398676
214	3.252302173
215	3.244098843
216	3.226696152
217	3.21264238
218	3.205484644
219	3.198844677
220	3.193768524
221	3.183250627
222	3.182315166
223	3.17930752
224	3.172048072
225	3.156682322
226	3.140261989
227	3.135560848
228	3.123281777
229	3.116177727
230	3.098458951
231	3.092910698
232	3.07868006
233	3.070157594
234	3.069688631
235	3.059197191
236	3.051572693
237	3.033630792
238	3.02425779
239	3.019894617
240	3.0083952
241	2.997734137
242	2.98963349
243	2.980670619
244	2.974294433
245	2.970221744
246	2.960067584
247	2.946493209
248	2.941881737
249	2.937491933
250	2.929703757
251	2.924291658
252	2.91987323
253	2.908633938
254	2.904866359
255	2.899738479
256	2.893723107
257	2.8758444
258	2.862800623
259	2.854826962
260	2.843926546
261	2.839898529
262	2.839610104
263	2.834691435
264	2.828729514
265	2.820038473
266	2.815075026
267	2.814768464
268	2.807266697
269	2.797307946
270	2.796736562
271	2.794943934
272	2.78710398
273	2.783070331
274	2.773158864
275	2.762354144
276	2.758770503
277	2.752842308
278	2.745364204
279	2.738751349
280	2.730177096
281	2.717215439
282	2.712178743
283	2.700823898
284	2.689815942
285	2.687659935
286	2.678747297
287	2.669948722
288	2.666647658
289	2.657986385
290	2.647710655
291	2.646072609
292	2.632904139
293	2.630010907
294	2.616517661
295	2.613547662
296	2.61127916
297	2.606531204
298	2.599281296
299	2.592357608
300	2.588664492
301	2.580922641
302	2.576288732
303	2.568488627
304	2.566179339
305	2.552884372
306	2.55258921
307	2.545538027
308	2.540411026
309	2.534051707
310	2.528241673
311	2.524917003
312	2.511122782
313	2.506257081
314	2.506070595
315	2.502999512
316	2.499539126
317	2.496925553
318	2.492513242
319	2.489218242
320	2.480783672
321	2.473869484
322	2.469734238
323	2.46048718
324	2.453568742
325	2.44814588
326	2.445024271
327	2.440071583
328	2.43686271
329	2.42506617
330	2.421906939
331	2.416726683
332	2.407410377
333	2.404083162
334	2.392933095
335	2.3873113
336	2.384672674
337	2.381006863
338	2.372265862
339	2.370956885
340	2.363649282
341	2.360316366
342	2.353002588
343	2.347908656
344	2.335673982
345	2.318026707
346	2.317149106
347	2.313340777
348	2.302574656
349	2.296108087
350	2.295836695
351	2.287207905
352	2.277672223
353	2.27062675
354	2.266214172
355	2.257844132
356	2.247369221
357	2.24118286
358	2.232981867
359	2.231163177
360	2.223760744
361	2.222260423
362	2.218820946
363	2.215250336
364	2.207123828
365	2.202035172
366	2.198918329
367	2.196731265
368	2.190656951
369	2.188439412
370	2.183830591
371	2.176448607
372	2.163728089
373	2.151657293
374	2.141915254
375	2.139843356
376	2.134491086
377	2.132390877
378	2.126824719
379	2.123925786
380	2.114080665
381	2.104525114
382	2.103209093
383	2.103013112
384	2.098363942
385	2.097690587
386	2.089934751
387	2.085719341
388	2.083349573
389	2.082998783
390	2.079940129
391	2.074827114
392	2.069368987
393	2.06684145
394	2.060193359
395	2.052867745
396	2.043292227
397	2.037599947
398	2.034950978
399	2.031666944
400	2.030868102
401	2.024173461
402	2.013555232
403	2.008179792
404	2.00485729
405	1.996409072
406	1.989538554
407	1.985431695
408	1.981992744
409	1.97988717
410	1.975042095
411	1.967454784
412	1.965463183
413	1.956867597
414	1.955881738
415	1.951414771
416	1.943978297
417	1.939119082
418	1.933828238
419	1.930782716
420	1.928526579
421	1.919900425
422	1.912090551
423	1.909270544
424	1.903553224
425	1.899601414
426	1.898599317
427	1.893982199
428	1.882800876
429	1.879809729
430	1.874837152
431	1.87044536
432	1.868113565
433	1.862371025
434	1.862016438
435	1.858599376
436	1.857249765
437	1.854081703
438	1.851970723
439	1.850344251
440	1.846884663
441	1.842350196
442	1.840230079
443	1.838581546
444	1.832545298
445	1.823487552
446	1.817020957
447	1.815408604
448	1.81211733
449	1.809533823
450	1.805715977
451	1.801552007
452	1.79822304
453	1.791314591
454	1.780912689
455	1.774546465
456	1.769481756
457	1.761551321
458	1.753465649
459	1.748007799
460	1.742025269
461	1.737781864
462	1.731393652
463	1.723136056
464	1.720653728
465	1.718772063
466	1.713790726
467	1.71134552
468	1.707576547
469	1.70385821
470	1.701247578
471	1.696766638
472	1.692615408
473	1.68825247
474	1.685351813
475	1.680662943
476	1.680354123
477	1.678785354
478	1.67587497
479	1.673045817
480	1.668989135
481	1.665631427
482	1.658847483
483	1.654146656
484	1.652839517
485	1.651124193
486	1.646272822
487	1.642652966
488	1.64052847
489	1.638594575
490	1.634904634
491	1.630957389
492	1.628940367
493	1.625615803
494	1.619343165
495	1.616411772
496	1.614183273
497	1.607692398
498	1.604845653
499	1.599633057
500	1.591115451
501	1.590158002
502	1.585836731
503	1.580161747
504	1.579096229
505	1.578304969
506	1.578055126
507	1.574915066
508	1.568736441
509	1.566279377
510	1.565667694
511	1.565409639
512	1.561889694
513	1.55762373
514	1.553010227
515	1.550429056
516	1.545920103
517	1.541114496
518	1.537977234
519	1.535364363
520	1.532720703
521	1.531361479
522	1.531239421
523	1.529414975
524	1.526181859
525	1.52183927
526	1.518848079
527	1.514040556
528	1.512208176
529	1.508885573
530	1.503324323
531	1.500066129
532	1.49404119
533	1.493895585
534	1.491112571
535	1.487049189
536	1.481357059
537	1.479080562
538	1.478181498
539	1.471360978
540	1.468996294
541	1.467683552
542	1.462619834
543	1.459472198
544	1.456183937
545	1.453398809
546	1.452418071
547	1.4491378
548	1.447447864
549	1.444447469
550	1.442936681
551	1.440357692
552	1.435562157
553	1.432731412
554	1.429804919
555	1.426447916
556	1.425717805
557	1.419895322
558	1.418466073
559	1.41560085
560	1.41076149
561	1.40848718
562	1.405425929
563	1.399662607
564	1.392329117
565	1.389931168
566	1.386805424
567	1.385239015
568	1.382613838
569	1.38217663
570	1.382022735
571	1.379354929
572	1.377123549
573	1.374540881
574	1.369843866
575	1.369727897
576	1.368854457
577	1.365560323
578	1.362732809
579	1.360628647
580	1.358625245
581	1.354532788
582	1.351588832
583	1.347222601
584	1.343430287
585	1.339636537
586	1.338098157
587	1.336175669
588	1.331791306
589	1.330672818
590	1.326041319
591	1.319461346
592	1.31684441
593	1.313441941
594	1.311051372
595	1.305909529
596	1.304983845
597	1.304530477
598	1.301839198
599	1.297462911
600	1.296283693
601	1.294039891
602	1.292039072
603	1.287712892
604	1.284679486
605	1.281820082
606	1.280972382
607	1.276977615
608	1.273505417
609	1.270694618
610	1.270448678
611	1.26677994
612	1.263777505
613	1.262394435
614	1.260783571
615	1.25831025
616	1.255881511
617	1.255562336
618	1.2510623
619	1.24890876
620	1.246660418
621	1.242722093
622	1.242396859
623	1.240704341
624	1.240368281
625	1.237445227
626	1.232456884
627	1.230498523
628	1.228428282
629	1.224200588
630	1.220416458
631	1.218303342
632	1.216104588
633	1.214372427
634	1.212599593
635	1.211631867
636	1.208256235
637	1.203431877
638	1.201623226
639	1.199960662
640	1.196561859
641	1.192990251
642	1.190758207
643	1.187378368
644	1.186326605
645	1.183525245
646	1.180760853
647	1.177532081
648	1.177016849
649	1.174771228
650	1.170759406
651	1.169758129
652	1.166162882
653	1.163272637
654	1.162245229
655	1.161203066
656	1.158399027
657	1.155910123
658	1.153544899
659	1.150374673
660	1.14960351
661	1.146464462
662	1.143469634
663	1.14033082
664	1.137709755
665	1.136237586
666	1.133890977
667	1.129284095
668	1.127753897
669	1.124797949
670	1.121215753
671	1.119310691
672	1.117773781
673	1.11316155
674	1.109543675
675	1.10803121
676	1.105713732
677	1.103038795
678	1.098752178
679	1.095408511
680	1.09372294
681	1.093095367
682	1.0918645
683	1.087488735
684	1.085020427
685	1.083118727
686	1.080264417
687	1.079344542
688	1.078075538
689	1.076426432
690	1.075480911
691	1.075209962
692	1.073047528
693	1.070129345
694	1.06747838
695	1.064573584
696	1.063621194
697	1.061444764
698	1.058818601
699	1.057506749
700	1.055359297
701	1.053446227
702	1.052776854
703	1.05095842
704	1.049527655
705	1.047344754
706	1.045300191
707	1.04316454
708	1.040998531
709	1.037622987
710	1.034948751
711	1.033448626
712	1.032357648
713	1.028155961
714	1.026796354
715	1.026177329
716	1.024176231
717	1.022835497
718	1.02049116
719	1.018483466
720	1.015850368
721	1.013445189
722	1.013025777
723	1.012863466
724	1.012427579
725	1.00897875
726	1.007694286
727	1.006027299
728	1.003839331
729	1.002326409
730	1.000080361
731	0.9990236914
732	0.9976195869
733	0.9955618888
734	0.9935399886
735	0.9904440759
736	0.9889747893
737	0.9860363951
738	0.9846290312
739	0.9837313222
740	0.9823197413
741	0.9806779016
742	0.9795997919
743	0.9760113078
744	0.9730807717
745	0.9720765954
746	0.9711366456
747	0.9681865809
748	0.9661588541
749	0.9629923811
750	0.962367467
751	0.961322145
752	0.9580197365
753	0.9551846921
754	0.9545336434
755	0.9517332125
756	0.9500633671
757	0.9471205882
758	0.9449505892
759	0.9430293738
760	0.9415165758
761	0.9408190112
762	0.9375678713
763	0.9340804756
764	0.9333489045
765	0.928962655
766	0.9273451385
767	0.9260983771
768	0.9220701534
769	0.9205571336
770	0.9181980665
771	0.9153861923
772	0.9122415794
773	0.9094765741
774	0.9082333981
775	0.9066062901
776	0.9039992682
777	0.9036072527
778	0.9025444438
779	0.9019499465
780	0.9013760357
781	0.899645807
782	0.8994535283
783	0.8976076393
784	0.8974302098
785	0.8960126434
786	0.8938977844
787	0.8898847171
788	0.8897325468
789	0.8862685671
790	0.8831501064
791	0.8806458875
792	0.8795374048
793	0.8786950743
794	0.8777353839
795	0.8767513109
796	0.8738900218
797	0.8717137512
798	0.871407059
799	0.87013634
800	0.8689541375
801	0.8675302883
802	0.8665691113
803	0.8650876792
804	0.8611385959
805	0.8589748884
806	0.8566860853
807	0.8557678146
808	0.8546028657
809	0.8540473702
810	0.8526097119
811	0.8509537261
812	0.8489338222
813	0.847553979
814	0.845808907
815	0.8448405142
816	0.8429360409
817	0.840388361
818	0.8388695043
819	0.838098313
820	0.8379720737
821	0.8355937561
822	0.8341731322
823	0.8317392327
824	0.8300772635
825	0.8280851462
826	0.8275140978
827	0.8255725393
828	0.8248976695
829	0.8217566044
830	0.8201257385
831	0.8179897982
832	0.8162447735
833	0.8143723447
834	0.8112825808
835	0.8099803653
836	0.8085587718
837	0.8072852383
838	0.8065006985
839	0.8056891788
840	0.8033849685
841	0.8020901097
842	0.8006097798
843	0.7997462623
844	0.7972507058
845	0.7970413391
846	0.795702732
847	0.7945668236
848	0.7926209648
849	0.7890186815
850	0.7871743552
851	0.7864306919
852	0.7858465659
853	0.7849167366
854	0.783349278
855	0.781053231
856	0.779623602
857	0.7786823568
858	0.7774178108
859	0.776619236
860	0.7738377593
861	0.7732697587
862	0.7719553081
863	0.7708104751
864	0.768610268
865	0.7676717828
866	0.7651507315
867	0.7640219554
868	0.7632091329
869	0.7620002428
870	0.760150971
871	0.757961684
872	0.7573559867
873	0.7562335794
874	0.7557363691
875	0.7556892565
876	0.7534906202
877	0.7520835606
878	0.7513733058
879	0.7490370945
880	0.7463723369
881	0.7453458826
882	0.7434963966
883	0.7431165771
884	0.7423345471
885	0.7411551876
886	0.7406845242
887	0.7402147541
888	0.7389145976
889	0.7383165954
890	0.7366751074
891	0.7335065782
892	0.7327777009
893	0.7319846403
894	0.72985903
895	0.7297308517
896	0.7286465361
897	0.7270727835
898	0.7255523221
899	0.7236387552
900	0.7228257553
901	0.7219327524
902	0.7206429886
903	0.7194807206
904	0.7183554906
905	0.7177090236
906	0.7164609207
907	0.715590718
908	0.7137289238
909	0.7136956865
910	0.7129821654
911	0.7115695373
912	0.7106547328
913	0.7087917456
914	0.7063248781
915	0.7054943844
916	0.704607001
917	0.702985716
918	0.7028776733
919	0.7020367564
920	0.7008477742
921	0.6989126444
922	0.6982135325
923	0.6968646914
924	0.6959793175
925	0.6951328032
926	0.6946313918
927	0.6935205609
928	0.69206
929	0.6910692353
930	0.6899128287
931	0.688061538
932	0.6875865969
933	0.6865071947
934	0.6853713272
935	0.6842416549
936	0.6832619249
937	0.6812403903
938	0.6799848586
939	0.6787072546
940	0.6768968013
941	0.6765350939
942	0.6763363585
943	0.6758185132
944	0.6743429175
945	0.6729764606
946	0.6711832013
947	0.6696786373
948	0.6686311079
949	0.6674992141
950	0.6671651896
951	0.665849459
952	0.6645258555
953	0.6644686042
954	0.6640542926
955	0.6632622527
956	0.6617646808
957	0.6603426614
958	0.6592360754
959	0.6576503372
960	0.6567801028
961	0.6561192747
962	0.6548272191
963	0.6532937322
964	0.652840015
965	0.6523511444
966	0.6503041046
967	0.6489519293
968	0.6479230314
969	0.6461885922
970	0.6449289599
971	0.6447068882
972	0.6428466975
973	0.6412773114
974	0.6385604448
975	0.63770509
976	0.6364992725
977	0.6347232981
978	0.6334854763
979	0.6316087221
980	0.6305799105
981	0.6298720155
982	0.6285115898
983	0.6266451738
984	0.6247038616
985	0.6238492302
986	0.6212324822
987	0.6196088616
988	0.6192933046
989	0.618734217
990	0.6181676101
991	0.6165241077
992	0.6162284954
993	0.6153868419
994	0.6140125861
995	0.6130883332
996	0.6120463416
997	0.6106053657
998	0.6096196902
999	0.6085155013
