iter	Passed	Remaining
0	0	685
1	1	698
2	2	735
3	2	746
4	4	817
5	4	826
6	5	822
7	6	811
8	7	790
9	7	767
10	8	749
11	8	729
12	9	712
13	9	694
14	10	679
15	10	671
16	11	667
17	12	658
18	12	651
19	13	642
20	13	636
21	14	632
22	14	630
23	15	629
24	15	622
25	16	622
26	17	619
27	17	616
28	18	617
29	19	614
30	19	613
31	20	612
32	20	612
33	21	609
34	22	607
35	22	606
36	23	605
37	23	603
38	24	605
39	25	606
40	26	610
41	26	609
42	27	613
43	28	614
44	28	613
45	29	610
46	29	608
47	30	607
48	31	607
49	31	606
50	32	603
51	33	603
52	33	601
53	34	599
54	34	597
55	35	596
56	36	609
57	37	608
58	38	608
59	38	606
60	39	614
61	40	612
62	40	609
63	41	608
64	42	607
65	42	606
66	43	605
67	44	603
68	44	601
69	45	600
70	45	599
71	46	597
72	46	595
73	47	594
74	48	593
75	48	592
76	49	599
77	50	597
78	51	597
79	51	595
80	52	595
81	53	593
82	54	600
83	55	600
84	55	599
85	56	596
86	56	594
87	57	594
88	57	591
89	58	591
90	59	589
91	59	588
92	60	585
93	60	584
94	61	583
95	61	582
96	63	587
97	63	586
98	64	585
99	64	583
100	65	582
101	66	581
102	66	580
103	67	580
104	67	578
105	68	577
106	69	578
107	69	577
108	70	574
109	70	573
110	71	572
111	72	571
112	72	569
113	73	568
114	73	567
115	74	565
116	74	564
117	75	564
118	76	563
119	76	562
120	77	561
121	77	560
122	78	559
123	79	558
124	79	558
125	80	561
126	81	560
127	82	559
128	84	567
129	85	573
130	87	581
131	88	584
132	90	592
133	91	593
134	93	598
135	94	600
136	95	602
137	97	608
138	98	611
139	100	615
140	100	614
141	101	613
142	102	615
143	103	613
144	103	612
145	104	611
146	105	613
147	106	613
148	108	621
149	110	626
150	111	625
151	111	623
152	113	626
153	114	628
154	114	626
155	115	625
156	116	623
157	116	621
158	117	624
159	118	622
160	119	621
161	119	620
162	120	618
163	121	616
164	121	615
165	122	614
166	122	613
167	123	611
168	124	610
169	124	608
170	125	607
171	125	605
172	126	604
173	127	606
174	128	605
175	129	607
176	130	605
177	130	604
178	131	603
179	132	601
180	132	600
181	133	599
182	133	597
183	134	596
184	135	598
185	136	596
186	137	597
187	138	596
188	138	595
189	139	594
190	140	593
191	140	593
192	141	591
193	142	590
194	142	589
195	143	587
196	144	586
197	144	585
198	145	584
199	145	583
200	146	581
201	146	580
202	147	578
203	148	577
204	148	576
205	149	575
206	149	574
207	150	572
208	150	571
209	151	569
210	152	568
211	152	567
212	153	566
213	153	565
214	154	564
215	155	565
216	156	564
217	157	563
218	157	562
219	158	561
220	160	565
221	160	563
222	161	562
223	162	561
224	162	560
225	163	559
226	164	558
227	164	557
228	166	559
229	166	557
230	167	556
231	167	555
232	168	554
233	169	553
234	169	552
235	170	551
236	170	549
237	171	548
238	172	548
239	172	547
240	173	546
241	173	544
242	174	543
243	175	542
244	175	541
245	176	540
246	176	539
247	177	538
248	178	537
249	178	536
250	179	535
251	179	534
252	181	536
253	183	537
254	184	539
255	188	547
256	189	547
257	189	546
258	190	545
259	191	545
260	192	545
261	194	547
262	196	549
263	197	550
264	198	551
265	200	551
266	200	550
267	201	549
268	201	547
269	202	546
270	202	545
271	203	544
272	203	542
273	204	541
274	204	540
275	205	538
276	206	538
277	207	537
278	207	537
279	208	536
280	209	535
281	209	533
282	210	533
283	210	531
284	211	530
285	212	529
286	212	528
287	213	527
288	213	525
289	214	524
290	214	523
291	216	524
292	216	522
293	217	521
294	217	520
295	218	519
296	218	518
297	219	516
298	220	517
299	221	516
300	221	515
301	222	514
302	223	512
303	223	511
304	224	510
305	224	509
306	225	508
307	225	507
308	226	506
309	227	505
310	227	504
311	228	503
312	228	502
313	229	500
314	229	499
315	230	498
316	230	497
317	231	496
318	232	495
319	232	494
320	233	493
321	233	492
322	234	491
323	235	490
324	235	489
325	236	489
326	237	488
327	238	487
328	238	486
329	239	486
330	240	485
331	240	484
332	241	483
333	242	482
334	242	481
335	243	480
336	243	479
337	244	478
338	245	477
339	245	476
340	246	475
341	246	474
342	247	473
343	248	473
344	248	472
345	249	471
346	249	470
347	250	469
348	251	468
349	251	467
350	252	466
351	252	464
352	253	464
353	253	463
354	254	463
355	255	462
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	259	456
362	259	455
363	260	455
364	261	454
365	261	453
366	262	452
367	262	451
368	263	450
369	263	449
370	264	448
371	265	447
372	265	446
373	266	445
374	266	444
375	267	443
376	268	443
377	268	442
378	269	442
379	270	441
380	271	441
381	272	440
382	272	439
383	273	438
384	274	437
385	275	437
386	275	436
387	276	435
388	276	434
389	277	433
390	277	432
391	278	431
392	279	431
393	279	430
394	280	429
395	280	428
396	281	427
397	282	427
398	283	426
399	283	425
400	284	424
401	284	423
402	285	422
403	286	422
404	286	421
405	287	420
406	287	419
407	288	418
408	289	417
409	289	416
410	290	416
411	290	415
412	291	414
413	292	413
414	292	412
415	293	411
416	293	410
417	294	410
418	295	409
419	295	408
420	296	407
421	297	407
422	297	406
423	298	405
424	299	405
425	300	404
426	300	403
427	301	402
428	302	401
429	302	401
430	304	401
431	304	400
432	305	399
433	305	398
434	306	397
435	306	397
436	308	396
437	308	395
438	309	395
439	309	394
440	310	393
441	310	392
442	311	391
443	311	390
444	312	389
445	313	389
446	313	388
447	314	387
448	314	386
449	315	385
450	316	384
451	316	383
452	317	383
453	317	382
454	318	381
455	319	380
456	319	379
457	320	379
458	321	378
459	321	377
460	322	376
461	322	375
462	323	375
463	324	375
464	325	374
465	326	373
466	326	372
467	327	371
468	327	371
469	328	370
470	329	369
471	329	368
472	330	367
473	331	367
474	331	366
475	332	365
476	332	365
477	333	364
478	334	363
479	334	362
480	335	361
481	335	361
482	336	360
483	337	359
484	337	358
485	338	357
486	338	357
487	339	356
488	340	355
489	340	354
490	341	353
491	341	352
492	342	352
493	343	352
494	344	351
495	345	351
496	347	351
497	348	351
498	349	351
499	351	351
500	352	351
501	353	350
502	354	350
503	355	349
504	356	348
505	356	348
506	357	347
507	358	346
508	358	346
509	359	345
510	361	345
511	362	345
512	363	345
513	364	344
514	364	343
515	365	342
516	365	341
517	366	341
518	367	340
519	367	339
520	368	338
521	368	337
522	369	337
523	370	336
524	371	336
525	372	335
526	373	334
527	373	334
528	374	333
529	375	332
530	375	331
531	376	331
532	376	330
533	377	329
534	378	328
535	378	327
536	379	327
537	379	326
538	380	325
539	380	324
540	381	323
541	382	322
542	382	322
543	383	321
544	384	320
545	385	320
546	386	319
547	386	318
548	387	318
549	387	317
550	388	316
551	389	315
552	389	314
553	390	314
554	390	313
555	391	312
556	391	311
557	392	310
558	392	309
559	393	309
560	394	308
561	394	307
562	395	306
563	395	305
564	396	305
565	396	304
566	397	303
567	397	302
568	398	301
569	398	300
570	399	300
571	400	299
572	400	298
573	401	297
574	402	297
575	403	297
576	404	296
577	405	295
578	405	295
579	406	294
580	407	293
581	408	293
582	408	292
583	409	291
584	410	291
585	411	290
586	412	290
587	413	289
588	414	289
589	415	288
590	416	288
591	417	287
592	418	287
593	418	286
594	419	285
595	420	285
596	421	284
597	422	283
598	423	283
599	424	282
600	425	282
601	425	281
602	426	280
603	427	280
604	427	279
605	428	278
606	429	278
607	430	277
608	431	276
609	431	276
610	432	275
611	432	274
612	433	273
613	433	272
614	435	272
615	435	271
616	436	271
617	437	270
618	438	269
619	439	269
620	440	268
621	440	267
622	441	267
623	441	266
624	442	265
625	443	264
626	443	264
627	444	263
628	445	262
629	445	261
630	446	260
631	446	260
632	447	259
633	447	258
634	448	257
635	449	257
636	449	256
637	450	255
638	450	254
639	451	253
640	452	253
641	452	252
642	453	251
643	453	250
644	455	250
645	455	249
646	456	249
647	456	248
648	457	247
649	458	246
650	458	245
651	459	245
652	460	244
653	460	243
654	461	242
655	461	242
656	462	241
657	463	240
658	463	240
659	464	239
660	465	238
661	465	237
662	466	237
663	467	236
664	468	235
665	468	235
666	469	234
667	470	233
668	470	232
669	471	232
670	472	231
671	472	230
672	473	229
673	473	229
674	474	228
675	475	227
676	475	226
677	476	226
678	476	225
679	477	224
680	478	223
681	478	223
682	479	222
683	480	221
684	481	221
685	481	220
686	482	219
687	482	218
688	483	218
689	484	217
690	484	216
691	485	216
692	485	215
693	486	214
694	486	213
695	487	212
696	488	212
697	488	211
698	489	210
699	489	209
700	490	209
701	491	208
702	491	207
703	492	206
704	492	206
705	493	205
706	495	205
707	495	204
708	496	203
709	497	203
710	498	202
711	499	201
712	499	201
713	500	200
714	500	199
715	501	198
716	502	198
717	502	197
718	503	196
719	503	195
720	504	195
721	505	194
722	505	193
723	506	193
724	507	192
725	507	191
726	508	190
727	509	190
728	510	189
729	510	188
730	511	188
731	511	187
732	512	186
733	512	185
734	514	185
735	514	184
736	515	183
737	516	183
738	516	182
739	517	181
740	517	180
741	518	180
742	518	179
743	519	178
744	520	178
745	520	177
746	521	176
747	522	175
748	523	175
749	523	174
750	524	174
751	525	173
752	526	172
753	526	171
754	527	171
755	527	170
756	528	169
757	528	168
758	529	168
759	530	167
760	531	166
761	532	166
762	533	165
763	534	165
764	539	165
765	540	165
766	541	164
767	542	163
768	543	163
769	544	162
770	545	162
771	549	162
772	550	161
773	550	160
774	551	160
775	552	159
776	552	158
777	553	157
778	553	157
779	554	156
780	555	155
781	555	154
782	555	154
783	556	153
784	557	152
785	557	151
786	558	151
787	558	150
788	559	149
789	560	148
790	561	148
791	562	147
792	563	147
793	564	146
794	564	145
795	565	144
796	565	144
797	566	143
798	567	142
799	567	141
800	568	141
801	568	140
802	569	139
803	569	138
804	570	138
805	570	137
806	571	136
807	572	135
808	572	135
809	573	134
810	573	133
811	574	133
812	575	132
813	576	131
814	576	130
815	577	130
816	577	129
817	578	128
818	579	127
819	579	127
820	580	126
821	580	125
822	581	125
823	581	124
824	582	123
825	582	122
826	583	122
827	584	121
828	584	120
829	585	119
830	585	119
831	586	118
832	586	117
833	587	116
834	588	116
835	588	115
836	589	114
837	589	114
838	591	113
839	591	112
840	592	112
841	593	111
842	594	110
843	595	109
844	595	109
845	596	108
846	596	107
847	597	107
848	598	106
849	598	105
850	599	104
851	599	104
852	600	103
853	601	102
854	601	102
855	602	101
856	603	100
857	604	99
858	604	99
859	605	98
860	605	97
861	606	97
862	606	96
863	607	95
864	608	95
865	609	94
866	609	93
867	610	92
868	611	92
869	611	91
870	612	90
871	613	89
872	613	89
873	614	88
874	614	87
875	615	87
876	616	86
877	616	85
878	617	84
879	617	84
880	618	83
881	618	82
882	619	82
883	620	81
884	621	80
885	622	80
886	623	79
887	623	78
888	624	77
889	624	77
890	625	76
891	626	75
892	626	75
893	627	74
894	628	73
895	629	73
896	630	72
897	630	71
898	631	70
899	632	70
900	633	69
901	634	68
902	634	68
903	635	67
904	635	66
905	636	65
906	636	65
907	637	64
908	637	63
909	638	63
910	638	62
911	639	61
912	640	60
913	640	60
914	641	59
915	641	58
916	642	58
917	643	57
918	643	56
919	644	56
920	644	55
921	645	54
922	645	53
923	646	53
924	646	52
925	647	51
926	648	51
927	648	50
928	649	49
929	649	48
930	650	48
931	650	47
932	651	46
933	652	46
934	652	45
935	653	44
936	654	43
937	654	43
938	655	42
939	655	41
940	656	41
941	656	40
942	657	39
943	658	39
944	658	38
945	659	37
946	659	36
947	660	36
948	661	35
949	661	34
950	662	34
951	662	33
952	663	32
